"Gene","lfc_treat_N2","lfc_treat_RB","lfc_geno_unt","lfc_geno_trt","lfc_gxe","padj_treat_N2","padj_treat_RB","padj_geno_unt","padj_geno_trt","padj_gxe"
"Y34D9A.2",0.201165288495223,0.00667683396615306,0.618136487006107,0.423648032477037,-0.19448845452907,0.714947131613712,0.991541070256124,0.63764868867893,0.413849201585776,0.895670317524185
"R06A10.2",-0.490253534026361,-0.439252838958535,-0.203604945081282,-0.152604250013456,0.051000695067826,0.488565063425701,0.488734306720478,0.999661050265277,0.869912876665535,0.983780124170851
"R06A10.5",0.120946998237256,1.56379138665238,-0.542104018218675,0.900740370196449,1.44284438841512,0.936451745782296,0.0766678220159636,0.999661050265277,NA,0.592341378673598
"R06A10.4",0.208365682922555,-0.164355436822202,0.296159597792095,-0.0765615219526621,-0.372721119744757,0.644495224687347,0.683819721271384,0.999661050265277,0.889359674613747,0.738680156794296
"ZK993.2",-4.15232596639442,-4.95037514834329,0.322513024010138,-0.475536157938731,-0.798049181948869,0.00370553306334258,0.000954224961897581,0.999661050265277,NA,0.896498401833068
"ZK993.5",-2.1532883322995,-2.18264868792428,0.439028224587021,0.409667868962236,-0.029360355624785,0.426070136802377,0.372985058852357,0.999661050265277,NA,0.998615513406581
"Y48G8AL.10",-0.430764462092017,-0.545924585623386,-0.0119012484175214,-0.12706137194889,-0.115160123531369,0.389019148221797,0.21234015049761,0.999661050265277,0.853622151103455,0.948518891318472
"Y48G8AL.14",-0.24629130284211,1.05181228313695,-0.257295359083172,1.04080822689588,1.29810358597906,0.643863529587604,0.00370459469719478,0.999661050265277,0.0250987148195947,0.170630847304869
"Y48G8AL.8",0.292703103711843,1.01900110414913,0.0863455286430403,0.812643529080324,0.726298000437284,0.523537507320159,0.00194512878264544,0.999661050265277,0.0609480950722298,0.483705801211588
"Y48G8AL.7",-0.0886372578352542,0.790674945159962,-0.0113798508608069,0.867932352134409,0.879312202995216,0.905663387410458,0.0779589373549767,0.999661050265277,0.120872979620384,0.50135841222049
"Y48G8AL.6",-0.0521534173851165,-0.66485987171565,0.0615935479678626,-0.55111290636267,-0.612706454330533,0.952429213429038,0.191338725912259,0.999661050265277,0.401371547141771,0.704951436895528
"Y48G8AL.16",-1.10548234897009,-1.09165325329233,0.284033326001716,0.297862421679469,0.0138290956777528,0.116562085068758,0.111306900246428,0.999661050265277,0.779162782024448,0.998105234629645
"Y48G8AL.12",-1.18380426119526,0.408286306214956,0.205006853756847,1.79709742116707,1.59209056741022,0.256960765278712,0.718766783076513,0.999661050265277,0.11549395703405,0.579573485951788
"Y48G8AL.13",0.780647914433677,1.58280109733068,-0.0822072267334412,0.719945956163559,0.802153182897,0.0337584226505596,1.19709989467224e-06,0.999661050265277,0.119220449838738,0.45913470817809
"Y48G8AL.15",-0.377850328413598,0.939235455367153,-0.239817776474356,1.07726800730639,1.31708578378075,0.6076616053946,0.0886005686514765,0.999661050265277,0.115295642865888,0.396437098991359
"Y48G8AR.1",0.341511231068408,-0.111623228666698,0.246004722028213,-0.207129737706893,-0.453134459735106,0.424873890037876,0.803674049860124,0.999661050265277,0.687461844651827,0.692490501850608
"K12C11.4",-0.222083323404846,-0.297406471970431,-0.0761824255206832,-0.151505574086268,-0.075323148565585,0.718451274595131,0.543441335266871,0.999661050265277,0.82328519077434,0.966701833059328
"K12C11.3",0.970101438141246,0.998943360047511,0.371298094447673,0.400140016353938,0.0288419219062649,0.0920168348221122,0.0715750360517826,0.999661050265277,0.612987795305461,0.993121823950746
"K12C11.6",0.120116100923556,0.839763936435239,0.108788903943095,0.828436739454778,0.719647835511683,0.883585330439367,0.0972125943645482,0.999661050265277,0.196078334351389,0.650977725875431
"K12C11.7",-0.276356403901952,-0.389743559341899,0.329243431229735,0.215856275789788,-0.113387155439947,0.613951771347337,0.390282129983179,0.999661050265277,0.729402250264512,0.948470109641414
"K12C11.2",0.10526858328511,0.367461128807762,-0.112441599883069,0.149750945639583,0.262192545522652,0.773387559139944,0.139530464012848,0.999661050265277,0.673510353688183,0.75261878546815
"K12C11.1",-0.817746702760337,-0.311347484481879,-0.330375391517535,0.176023826760924,0.506399218278459,0.000170428503294068,0.222866064616357,0.865290734487149,0.612908126685982,0.473906122831422
"Y92H12BL.1",-0.267874551337906,0.290506465345424,0.0370616936711458,0.595442710354476,0.55838101668333,0.511306048514382,0.410503144388952,0.999661050265277,0.137260462167469,0.570123445139196
"Y92H12BM.1",-0.718657669421087,-0.210110168026922,-0.0668863512405964,0.441661150153568,0.508547501394165,0.419819645200248,0.827491796018643,0.999661050265277,NA,0.848582460458732
